classification,side_clean,trades,unique_accounts,unique_symbols,total_pnl,avg_pnl,median_pnl,win_rate,total_volume_usd,avg_size_usd,avg_leverage,total_fee
Fear,Buy,66081,31,141,3837629.649124,58.07463036461313,0.0,26.104326508376086,353775741.76,5353.668100664336,,71449.7487578108
Greed,Sell,20868,27,128,2997015.866546,143.61778160561624,1.722882,61.328349626221964,59360528.82,2844.5720155261643,,13627.624235
Fear,Sell,67790,32,150,2862295.54145,42.222975976545214,0.449315,56.5363622953238,350382751.22,5168.649523823573,,73568.29486
Greed,Buy,15421,27,117,192600.66882999998,12.489505792750144,0.0,22.07379547370469,56143143.03,3640.694055508722,,10706.40915361
Neutral,Sell,3636,8,77,103902.770895,28.576119608085808,0.0,24.64246424642464,10938522.86,3008.394625962596,,3682.930422
Extreme Greed,Sell,3591,4,72,90740.152161,25.268769746867168,0.147,52.130325814536334,19828470.37,5521.712717905876,,3420.37009
Extreme Greed,Buy,3371,5,72,86225.339613,25.57856410946307,0.0,45.68377336102047,19578299.88,5807.861133194898,,3392.411143
Neutral,Buy,3505,8,42,54839.607183,15.646107612838803,0.0,39.05848787446505,10904711.49,3111.1873009985734,,5060.94706438
